name,url,group,country,language,quality,category,tags
Bravo (CA),http://38.143.48.212:9981/stream/channelid/1866338186?profile=pass,Entertainment,Canada,English,,Entertainment,"arts,entertainment"
Cartoon Network (CA),http://38.143.48.212:9981/stream/channelid/1520310405?profile=pass,Kids,Canada,English,,Kids,"kids,cartoons"
CBC Ottawa (CBOT),http://38.143.48.212:9981/stream/channelid/677345170?profile=pass,General,Canada,English,,General,"public,general"
CBC News Network,http://38.143.48.212:9981/stream/channelid/1944859004?profile=pass,News,Canada,English,,News,"news,public"
CHCH,http://38.143.48.212:9981/stream/channelid/834583504?profile=pass,General,Canada,English,,General,general
CHEK,https://livecdn.use1-0004.jwplive.com/live/sites/HGOnqYhO/media/i9sjcGbc/live.isml/.mpd,General,Canada,English,,General,regional
CityTV (CA),http://38.143.48.212:9981/stream/channelid/2009202451?profile=pass,General,Canada,English,,General,general
CPAC,http://38.143.48.212:9981/stream/channelid/1514524920?profile=pass,General,Canada,English,,General,"politics,public"
CTV News Channel,http://38.143.48.212:9981/stream/channelid/1877863586?profile=pass,News,Canada,English,,News,news
CTV Comedy,http://38.143.48.212:9981/stream/channelid/874242496?profile=pass,Entertainment,Canada,English,,Entertainment,comedy
CTV Drama,http://38.143.48.212:9981/stream/channelid/133843306?profile=pass,Entertainment,Canada,English,,Entertainment,drama
CTV Nature,http://38.143.48.212:9981/stream/channelid/1405285984?profile=pass,Documentary,Canada,English,,Documentary,"nature,documentary"
CTV Speed,http://38.143.48.212:9981/stream/channelid/587702128?profile=pass,Entertainment,Canada,English,,Entertainment,motorsport
CTV Sci Fi,http://38.143.48.212:9981/stream/channelid/191789153?profile=pass,Entertainment,Canada,English,,Entertainment,scifi
CTV Wild,http://38.143.48.212:9981/stream/channelid/2101272479?profile=pass,Documentary,Canada,English,,Documentary,"nature,wildlife"
CTV Winnipeg (CKY),http://38.143.48.212:9981/stream/channelid/741174107?profile=pass,General,Canada,English,,General,regional
Deja View,http://38.143.48.212:9981/stream/channelid/1478849894?profile=pass,Entertainment,Canada,English,,Entertainment,"classic,retro"
DTOUR,http://38.143.48.212:9981/stream/channelid/1459580512?profile=pass,Lifestyle,Canada,English,,Lifestyle,"travel,lifestyle"
Discovery Channel (CA),http://38.143.48.212:9981/stream/channelid/686709663?profile=pass,Documentary,Canada,English,,Documentary,documentary
Food Network (CA),http://38.143.48.212:9981/stream/channelid/1724607227?profile=pass,Lifestyle,Canada,English,,Lifestyle,food
FX Canada,http://38.143.48.212:9981/stream/channelid/1924145856?profile=pass,Entertainment,Canada,English,,Entertainment,"series,movies"
Global Toronto (CIII),http://38.143.48.212:9981/stream/channelid/41831820?profile=pass,General,Canada,English,,General,general
History (CA),http://38.143.48.212:9981/stream/channelid/399303638?profile=pass,Documentary,Canada,English,,Documentary,history
HGTV (CA),http://38.143.48.212:9981/stream/channelid/340929362?profile=pass,Lifestyle,Canada,English,,Lifestyle,"home,garden"
Knowledge Network,https://d1wal6k3d7ssin.cloudfront.net/out/v1/ea91db0906c847a4931b46a9ec36e77b/index.m3u8,Educational,Canada,English,,Educational,education
Lifetime TV (CA),http://38.143.48.212:9981/stream/channelid/1090723913?profile=pass,Entertainment,Canada,English,,Entertainment,drama
Movie Time,http://38.143.48.212:9981/stream/channelid/1403847081?profile=pass,Movies,Canada,English,,Movies,movies
Much,http://38.143.48.212:9981/stream/channelid/1454901099?profile=pass,Music,Canada,English,,Music,music
National Geographic (CA),http://38.143.48.212:9981/stream/channelid/1422297878?profile=pass,Documentary,Canada,English,,Documentary,"documentary,nature"
Slice,http://38.143.48.212:9981/stream/channelid/1542245415?profile=pass,Lifestyle,Canada,English,,Lifestyle,lifestyle
Smithsonian Channel,http://38.143.48.212:9981/stream/channelid/254901251?profile=pass,Documentary,Canada,English,,Documentary,documentary
Sportsnet 360,http://38.143.48.212:9981/stream/channelid/1618628267?profile=pass,Sports,Canada,English,,Sports,sports
Sportsnet One,http://38.143.48.212:9981/stream/channelid/390027408?profile=pass,Sports,Canada,English,,Sports,sports
Sportsnet Pacific,http://38.143.48.212:9981/stream/channelid/1546770827?profile=pass,Sports,Canada,English,,Sports,sports
Treehouse,http://38.143.48.212:9981/stream/channelid/704089388?profile=pass,Kids,Canada,English,,Kids,kids
TSN 1,http://38.143.48.212:9981/stream/channelid/1102959901?profile=pass,Sports,Canada,English,,Sports,sports
TSN 2,http://fl5.moveonjoy.com/TSN_2/index.m3u8,Sports,Canada,English,,Sports,sports
TSN 3,http://38.143.48.212:9981/stream/channelid/139110812?profile=pass,Sports,Canada,English,,Sports,sports
TSN 4,http://38.143.48.212:9981/stream/channelid/1776294404?profile=pass,Sports,Canada,English,,Sports,sports
TSN 5,http://38.143.48.212:9981/stream/channelid/1415594724?profile=pass,Sports,Canada,English,,Sports,sports
TVO,http://38.143.48.212:9981/stream/channelid/984041359?profile=pass,Educational,Canada,English,,Educational,"education,public"
W Network,http://38.143.48.212:9981/stream/channelid/1265777165?profile=pass,Entertainment,Canada,English,,Entertainment,entertainment
Weather Network,http://38.143.48.212:9981/stream/channelid/524858336?profile=pass,Weather,Canada,English,,Weather,weather
La Red,http://38.250.127.17:9800/play/a09n/index.m3u8,General,Chile,Spanish,,General,general
Chilevision,http://38.7.195.43:8000/play/a02g,General,Chile,Spanish,,General,general
CHV Noticias,http://38.7.195.43:8000/play/a02i,News,Chile,Spanish,,News,news
MEGA (CL),http://38.250.127.17:9800/play/a066/index.m3u8,General,Chile,Spanish,,General,general
MEGA 2,http://38.7.195.43:8000/play/a028,General,Chile,Spanish,,General,general
MEGA Tiempo,http://38.7.195.43:8000/play/a0v3,Weather,Chile,Spanish,,Weather,weather
MEGA Ficcion,http://38.7.195.43:8000/play/a0v4,Entertainment,Chile,Spanish,,Entertainment,"series,drama"
El 13,http://38.7.195.43:8000/play/a02k,General,Chile,Spanish,,General,general
Teletrece,http://38.7.195.43:8000/play/a02m,News,Chile,Spanish,,News,news
13C,http://38.7.195.43:8000/play/a02o,Entertainment,Chile,Spanish,,Entertainment,entertainment
ETC,http://181.78.201.70:8000/play/a0tu/index.m3u8,Entertainment,Chile,Spanish,,Entertainment,entertainment
CNN Chile,http://138.36.253.13:8008/play/a00k/index.m3u8,News,Chile,Spanish,,News,news
CCTV-1,http://58.19.180.108:9981/stream/channelid/1198995092?profile=pass,General,China,Mandarin,,General,"public,general"
CCTV-2,http://58.19.180.108:9981/stream/channelid/980211261?profile=pass,Business,China,Mandarin,,Business,"business,finance"
CCTV-3,http://58.19.180.108:9981/stream/channelid/188040143?profile=pass,Entertainment,China,Mandarin,,Entertainment,entertainment
CCTV-5,http://58.19.180.108:9981/stream/channelid/908622330?profile=pass,Sports,China,Mandarin,,Sports,sports
